event ,points ,total_points ,rank    ,rank_sort ,overall_rank ,bank ,value ,event_transfers ,event_transfers_cost ,points_on_bench
1     ,94     ,94           ,817703  ,823632    ,817700       ,0    ,1000  ,0               ,0                    ,4
2     ,83     ,177          ,216958  ,219844    ,233751       ,0    ,1004  ,0               ,0                    ,8
3     ,61     ,238          ,2484002 ,2486522   ,311196       ,33   ,1010  ,2               ,0                    ,2
4     ,80     ,318          ,239273  ,240664    ,92464        ,2    ,1009  ,0               ,0                    ,9
5     ,57     ,375          ,3639768 ,3642026   ,146840       ,5    ,1010  ,1               ,0                    ,1
6     ,53     ,428          ,1414859 ,1417611   ,112465       ,17   ,1015  ,1               ,0                    ,0
7     ,42     ,470          ,2792162 ,2794064   ,129672       ,17   ,1016  ,0               ,0                    ,0
8     ,56     ,526          ,2540658 ,2544045   ,142826       ,7    ,1019  ,1               ,0                    ,6
9     ,102    ,628          ,339302  ,339892    ,64518        ,2    ,1018  ,2               ,0                    ,0
10    ,29     ,657          ,7453893 ,7454370   ,186293       ,2    ,1022  ,0               ,0                    ,0
11    ,57     ,714          ,1120165 ,1121472   ,181165       ,25   ,1024  ,2               ,0                    ,5
12    ,62     ,776          ,3283188 ,3285008   ,235956       ,10   ,1029  ,1               ,0                    ,3
13    ,43     ,819          ,4649679 ,4651495   ,309983       ,5    ,1032  ,1               ,0                    ,0
14    ,54     ,873          ,5861968 ,5863330   ,424767       ,1    ,1035  ,1               ,0                    ,1
15    ,38     ,911          ,5741910 ,5744213   ,533798       ,1    ,1034  ,0               ,0                    ,6
16    ,66     ,977          ,2404010 ,2405961   ,526270       ,3    ,1030  ,2               ,0                    ,0
17    ,52     ,1029         ,2979277 ,2981379   ,564600       ,41   ,1032  ,1               ,0                    ,0
18    ,65     ,1090         ,515997  ,517208    ,466511       ,0    ,1027  ,2               ,4                    ,0
19    ,41     ,1131         ,3146922 ,3148469   ,491983       ,0    ,1029  ,0               ,0                    ,0
20    ,35     ,1166         ,4917860 ,4919158   ,523774       ,5    ,1029  ,2               ,0                    ,0
21    ,81     ,1247         ,430537  ,431138    ,393468       ,15   ,1026  ,1               ,0                    ,1
22    ,64     ,1307         ,157818  ,158093    ,286445       ,49   ,1029  ,2               ,4                    ,9
