,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,64,59,154,69,3870811,38,2022-05-21T00:49:43.024672Z
1,259,60,67,45,3870811,38,2022-05-21T00:49:43.024105Z
2,142,64,229,68,3870811,38,2022-05-21T00:49:43.015244Z
3,420,68,233,132,3870811,37,2022-05-15T02:37:39.997890Z
4,357,124,450,59,3870811,37,2022-05-15T02:37:39.992612Z
5,50,43,22,66,3870811,37,2022-05-14T13:35:54.094034Z
6,154,69,505,44,3870811,37,2022-05-14T13:35:54.093103Z
7,180,76,315,60,3870811,37,2022-05-14T13:35:54.092077Z
8,178,42,259,60,3870811,37,2022-05-14T13:35:54.083342Z
9,259,60,142,63,3870811,36,2022-05-01T21:19:39.332317Z
10,224,52,305,44,3870811,36,2022-05-01T21:19:39.331657Z
11,450,59,78,68,3870811,36,2022-05-01T21:19:39.331169Z
12,505,44,141,79,3870811,36,2022-05-01T21:19:39.330620Z
13,251,119,138,76,3870811,36,2022-05-01T21:19:39.324290Z
14,141,79,212,69,3870811,34,2022-04-21T15:24:32.615849Z
15,142,63,91,44,3870811,34,2022-04-21T15:24:32.615303Z
16,315,60,518,53,3870811,34,2022-04-21T15:24:32.614627Z
17,138,76,251,118,3870811,34,2022-04-21T15:24:32.609864Z
18,212,69,420,68,3870811,33,2022-04-12T00:41:59.733276Z
19,251,118,240,83,3870811,33,2022-04-12T00:41:59.732761Z
20,91,44,429,47,3870811,33,2022-04-12T00:41:59.732092Z
21,305,44,142,62,3870811,33,2022-04-12T00:41:59.724880Z
22,142,62,44,52,3870811,32,2022-04-04T21:00:05.438054Z
23,420,68,51,48,3870811,32,2022-04-04T21:00:05.437451Z
24,240,83,261,71,3870811,32,2022-04-04T21:00:05.436814Z
25,78,67,357,124,3870811,32,2022-04-04T21:00:05.429764Z
26,233,133,701,62,3870811,31,2022-03-28T14:32:00.314805Z
27,261,71,681,74,3870811,31,2022-03-28T14:32:00.314106Z
28,550,45,6,84,3870811,31,2022-03-28T14:32:00.313544Z
29,229,68,237,80,3870811,31,2022-03-28T14:32:00.308600Z
30,6,84,450,56,3870811,30,2022-03-17T14:18:19.894585Z
31,701,62,233,130,3870811,30,2022-03-17T14:07:22.061406Z
32,44,52,229,67,3870811,30,2022-03-17T14:07:22.060878Z
33,51,48,420,67,3870811,30,2022-03-17T14:07:22.060305Z
34,357,124,700,65,3870811,30,2022-03-17T14:07:22.056042Z
35,229,67,127,61,3870811,29,2022-03-10T23:27:13.476746Z
36,67,45,431,50,3870811,29,2022-03-10T23:27:13.476142Z
37,22,65,196,65,3870811,29,2022-03-10T23:27:13.471960Z
38,127,61,262,63,3870811,28,2022-03-04T17:55:34.069294Z
39,431,50,98,49,3870811,28,2022-03-02T23:11:15.142272Z
40,681,74,22,64,3870811,28,2022-03-02T23:11:15.136112Z
41,700,65,533,44,3870811,27,2022-02-25T02:50:54.784262Z
42,98,49,234,71,3870811,27,2022-02-25T02:50:54.783676Z
43,262,63,23,53,3870811,27,2022-02-25T02:50:54.779387Z
44,23,53,259,57,3870811,26,2022-02-16T04:54:12.956412Z
45,359,107,277,117,3870811,26,2022-02-16T04:54:12.950182Z
46,533,44,78,66,3870811,25,2022-02-11T21:16:35.802128Z
