event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,96,96,633476,653161,633473,5,1000,0,0,4
2,70,166,1265131,1276244,559688,5,1004,0,0,7
3,61,227,2484002,2493994,620209,14,1008,2,0,3
4,64,291,2355073,2366744,547395,14,1007,0,0,2
5,71,362,913005,916279,341410,17,1008,2,0,3
6,49,411,2311662,2325216,327347,29,1012,1,0,2
7,42,453,2918976,2931834,351693,27,1015,1,0,0
8,62,515,1114348,1122810,268181,8,1009,0,0,5
9,85,600,1752865,1758162,277877,19,1017,1,0,3
10,56,656,1183710,1190199,195292,7,1023,1,0,2
11,77,733,27331,27928,80862,9,1025,1,0,20
12,75,808,963341,967462,71911,9,1032,0,0,8
13,61,869,898699,903960,56078,17,1037,2,0,2
14,70,939,1824060,1835709,47382,17,1042,0,0,3
15,50,989,2407188,2414658,46366,22,1042,2,0,2
16,77,1066,763455,767570,30641,23,1047,1,0,0
17,53,1115,2808942,2815747,54692,3,1050,2,4,0
18,52,1167,2022072,2028006,64407,1,1050,1,0,0
19,31,1198,5569739,5574299,112171,7,1051,1,0,0
20,49,1247,1578940,1583904,93067,5,1051,1,0,0
21,76,1323,702792,704825,84389,15,1049,1,0,2
22,69,1392,1301373,1302879,70190,0,1051,1,0,11
23,26,1418,7212446,7224302,87915,0,1053,0,0,6
24,56,1470,3392742,3393576,136705,3,1056,3,4,4
25,62,1532,1541230,1548346,139971,3,1060,0,0,2
26,147,1675,188744,190093,99539,11,1061,3,4,19
27,65,1740,279805,285964,75813,11,1061,0,0,11
28,70,1806,3954356,3957116,122268,9,1058,2,4,21
29,103,1909,386910,388418,99154,7,1057,1,0,17
30,51,1960,1585618,1589454,102811,8,1055,1,0,0
31,56,2016,1484571,1490399,91653,5,1060,1,0,2
32,91,2107,82296,83031,55565,6,1060,1,0,2
33,87,2194,754752,756468,42521,11,1063,1,0,13
34,59,2253,2539167,2549268,44287,0,1055,0,0,14
35,68,2321,520968,524739,28999,0,1058,0,0,5
36,123,2444,597938,599427,23157,11,1060,2,0,0
37,61,2505,1719334,1720760,31250,71,1059,1,0,0
38,83,2588,332666,334601,23864,71,1060,0,0,4
