,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,119,56,127,61,931343,38,2022-05-22T13:26:14.382271Z
1,142,65,259,60,931343,38,2022-05-22T13:26:14.381926Z
2,259,60,142,64,931343,38,2022-05-22T13:18:30.741033Z
3,127,61,122,57,931343,38,2022-05-22T13:18:30.740489Z
4,115,43,26,53,931343,38,2022-05-22T12:11:43.460370Z
5,231,61,200,50,931343,38,2022-05-22T12:11:43.460043Z
6,26,53,115,43,931343,38,2022-05-22T11:55:40.111942Z
7,200,50,231,61,931343,38,2022-05-22T11:55:40.111545Z
8,231,61,200,50,931343,38,2022-05-21T19:07:34.233482Z
9,572,39,376,41,931343,38,2022-05-21T19:07:34.233194Z
10,234,73,237,79,931343,38,2022-05-21T19:07:34.232560Z
11,577,47,450,56,931343,38,2022-05-19T15:09:34.263205Z
12,533,44,315,60,931343,38,2022-05-19T15:09:34.262654Z
13,357,124,180,75,931343,38,2022-05-19T15:09:34.262124Z
14,115,43,503,46,931343,38,2022-05-19T15:09:34.261794Z
15,251,121,154,69,931343,38,2022-05-19T15:09:34.261530Z
16,212,69,22,67,931343,38,2022-05-19T15:09:34.261254Z
17,368,43,259,59,931343,38,2022-05-19T15:09:34.260941Z
18,122,57,44,52,931343,38,2022-05-19T15:09:34.260614Z
19,200,50,146,46,931343,38,2022-05-19T15:09:34.260205Z
20,154,69,233,129,931343,37,2022-05-14T21:42:09.526623Z
21,180,75,159,53,931343,36,2022-05-06T19:09:51.386621Z
22,503,46,141,79,931343,36,2022-05-06T19:09:51.382060Z
23,44,52,364,44,931343,34,2022-04-22T12:38:31.473517Z
24,146,46,200,49,931343,34,2022-04-22T12:38:31.472729Z
25,22,68,701,64,931343,34,2022-04-22T12:32:47.120420Z
26,364,44,44,52,931343,34,2022-04-22T12:32:47.119848Z
27,159,53,20,54,931343,34,2022-04-22T12:23:57.539698Z
28,701,64,22,68,931343,34,2022-04-22T12:23:57.539141Z
29,44,52,364,44,931343,34,2022-04-22T12:23:57.538223Z
30,20,54,159,53,931343,34,2022-04-22T12:07:30.350332Z
31,22,68,701,64,931343,34,2022-04-22T12:04:16.243145Z
32,364,44,44,52,931343,34,2022-04-22T12:04:16.242546Z
33,701,64,212,70,931343,34,2022-04-22T11:53:15.941387Z
34,142,63,122,55,931343,34,2022-04-22T11:53:15.940730Z
35,315,60,78,66,931343,34,2022-04-21T21:23:13.134375Z
36,159,53,518,55,931343,34,2022-04-21T21:23:13.134099Z
37,212,70,701,62,931343,34,2022-04-21T21:23:13.133832Z
38,141,79,22,66,931343,34,2022-04-21T21:23:13.133558Z
39,44,52,127,61,931343,34,2022-04-21T21:23:13.133269Z
40,122,55,305,44,931343,34,2022-04-21T21:23:13.132979Z
41,259,59,234,72,931343,34,2022-04-21T21:23:13.132697Z
42,200,49,112,54,931343,34,2022-04-21T21:23:13.132332Z
43,138,76,215,65,931343,34,2022-04-21T12:32:23.367601Z
44,305,44,360,49,931343,33,2022-04-14T13:48:41.583998Z
45,360,49,431,50,931343,32,2022-04-06T16:25:34.649845Z
46,112,54,559,51,931343,31,2022-04-01T18:51:35.296428Z
47,215,65,420,66,931343,30,2022-03-18T05:10:24.797313Z
48,701,61,144,59,931343,29,2022-03-11T00:42:44.014835Z
49,518,55,586,64,931343,28,2022-03-04T16:02:03.683581Z
50,127,61,584,50,931343,28,2022-03-03T13:34:45.590454Z
51,290,39,546,39,931343,27,2022-02-24T23:36:13.549189Z
52,546,39,56,41,931343,27,2022-02-24T23:31:54.598097Z
53,106,48,585,45,931343,27,2022-02-24T23:31:54.597721Z
54,585,45,470,44,931343,27,2022-02-24T23:18:00.983071Z
55,56,41,491,43,931343,27,2022-02-24T23:18:00.982525Z
56,313,39,376,40,931343,27,2022-02-24T23:18:00.982051Z
57,485,89,341,65,931343,27,2022-02-24T23:18:00.981447Z
58,512,48,420,68,931343,27,2022-02-24T23:18:00.980838Z
59,518,54,78,64,931343,27,2022-02-24T22:08:45.310584Z
60,700,65,586,65,931343,27,2022-02-24T22:08:45.310250Z
61,357,122,450,57,931343,27,2022-02-24T22:08:45.309923Z
62,254,87,22,64,931343,27,2022-02-24T22:08:45.309653Z
63,341,65,233,128,931343,27,2022-02-24T22:08:45.309342Z
64,277,117,144,59,931343,27,2022-02-24T22:08:45.309062Z
65,470,44,234,71,931343,27,2022-02-24T22:08:45.308783Z
66,491,43,237,80,931343,27,2022-02-24T22:08:45.308473Z
67,208,38,431,50,931343,27,2022-02-24T22:08:45.308032Z
68,259,58,584,50,931343,27,2022-02-24T22:08:45.307737Z
