event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,96,96,633476,653880,633473,20,1000,0,0,2
2,71,167,1150377,1159603,523921,20,1004,0,0,4
3,61,228,2484002,2494412,587740,19,1009,2,0,2
4,67,291,1881551,1887495,563395,23,1007,2,4,3
5,67,358,1465141,1473217,424280,18,1007,1,0,0
6,46,404,3153095,3167617,465465,26,1012,1,0,2
7,39,443,3673749,3685881,546297,2,1018,0,0,5
8,61,504,1373920,1384490,448510,0,1023,1,0,8
9,78,582,2695968,2700945,547895,10,1028,1,0,0
10,50,632,2161608,2170597,473687,10,1027,0,0,0
11,75,707,47715,48442,234297,20,1028,2,0,4
12,75,782,1006943,1013382,196016,18,1033,1,0,2
13,54,836,1968491,1977348,191842,21,1037,1,0,2
14,63,895,3733737,3740247,241555,3,1044,2,4,8
15,43,938,4157878,4176098,281215,3,1046,0,0,4
16,77,1015,785530,791902,214926,8,1051,2,0,0
17,60,1075,1348550,1355294,205274,8,1055,0,0,0
18,54,1129,1737737,1744868,203620,33,1055,2,0,0
19,51,1176,1562291,1566576,200783,8,1054,2,4,0
20,61,1237,346588,348680,123417,1,1055,1,0,0
21,75,1312,761173,763166,112641,8,1053,1,0,4
22,54,1366,3765370,3769873,133208,4,1055,1,0,9
23,42,1408,2133136,2141769,112758,0,1056,1,0,2
24,76,1484,926870,933255,99842,0,1064,0,0,5
25,57,1541,2446289,2450978,116794,19,1068,2,0,1
26,136,1677,550922,552247,95502,26,1065,1,0,4
27,58,1731,916886,920150,91753,33,1065,2,4,0
28,79,1802,2793956,2795542,131139,6,1064,3,8,3
29,80,1882,3181346,3186859,152351,14,1064,1,0,3
30,70,1952,397430,408205,117293,14,1063,0,0,14
31,62,2014,737031,740470,95036,10,1062,1,0,1
32,72,2086,895133,898630,82731,10,1061,1,0,2
33,86,2172,850222,852190,64965,19,1061,1,0,8
34,56,2228,3152156,3164629,70024,0,1058,0,0,21
35,68,2296,520968,524973,47888,0,1061,0,0,5
36,150,2442,134036,134416,24248,9,1063,3,4,0
37,68,2506,1237725,1239972,30739,6,1064,2,4,5
38,61,2567,2520907,2529825,36622,6,1068,0,0,15
