,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,39,47,259,58,983454,38,2022-05-22T13:04:59.580267Z
1,696,81,503,46,983454,38,2022-05-22T13:04:59.579989Z
2,26,53,22,66,983454,38,2022-05-22T13:04:59.579714Z
3,368,44,224,51,983454,38,2022-05-22T13:04:59.579412Z
4,234,73,142,64,983454,38,2022-05-22T13:04:59.579132Z
5,143,61,54,39,983454,38,2022-05-22T13:04:59.578828Z
6,129,45,200,49,983454,38,2022-05-22T13:04:59.578444Z
7,54,39,170,48,983454,38,2022-05-21T23:49:21.157827Z
8,533,44,20,55,983454,38,2022-05-21T23:47:14.668139Z
9,78,68,180,75,983454,38,2022-05-21T23:46:33.722468Z
10,420,69,154,69,983454,38,2022-05-21T23:43:13.203591Z
11,357,124,315,60,983454,37,2022-05-14T23:25:28.179057Z
12,154,69,233,130,983454,37,2022-05-14T23:25:28.174292Z
13,170,48,376,41,983454,36,2022-05-06T13:22:54.960490Z
14,503,46,141,79,983454,36,2022-05-05T23:00:25.674629Z
15,180,75,450,58,983454,36,2022-05-05T23:00:25.669017Z
16,20,54,518,53,983454,34,2022-04-21T22:45:12.413892Z
17,450,58,700,64,983454,34,2022-04-21T22:22:28.607205Z
18,141,79,505,44,983454,34,2022-04-21T22:22:28.606832Z
19,142,63,127,61,983454,34,2022-04-21T22:14:54.125101Z
20,224,50,162,45,983454,34,2022-04-21T14:49:54.940597Z
21,138,76,265,78,983454,34,2022-04-21T14:00:14.606253Z
22,505,44,420,67,983454,34,2022-04-19T23:22:04.003494Z
23,162,45,590,45,983454,34,2022-04-19T23:10:16.483638Z
24,590,45,360,48,983454,34,2022-04-16T20:51:51.195037Z
25,315,59,450,56,983454,34,2022-04-16T20:51:11.248729Z
26,376,41,54,39,983454,34,2022-04-16T20:06:31.741761Z
27,200,49,295,44,983454,34,2022-04-16T20:06:31.741380Z
28,295,44,475,53,983454,33,2022-04-15T12:44:22.369585Z
29,360,49,16,49,983454,32,2022-04-07T14:01:15.803020Z
30,265,78,681,74,983454,31,2022-04-01T18:16:15.045706Z
31,44,52,425,39,983454,30,2022-03-17T23:07:08.503907Z
32,429,48,44,52,983454,30,2022-03-17T23:01:25.943472Z
33,199,48,475,53,983454,30,2022-03-17T23:01:25.943136Z
34,212,67,701,62,983454,30,2022-03-17T22:56:42.217813Z
35,370,52,217,49,983454,30,2022-03-17T22:56:42.217236Z
