event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,95,95,716748,737477,716745,10,1000,0,0,2
2,73,168,930868,939309,488473,10,1004,0,0,2
3,61,229,2484002,2492072,556051,20,1007,2,0,2
4,60,289,3265709,3274436,599643,20,1007,0,0,13
5,72,361,794823,797184,359898,3,1008,2,0,5
6,44,405,3620764,3630823,435535,3,1013,0,0,14
7,37,442,4294656,4302831,561248,0,1016,0,0,4
8,62,504,1114348,1120974,441040,0,1020,0,0,3
9,90,594,1189943,1194142,353111,12,1024,2,0,12
10,57,651,1045026,1050200,238913,25,1030,1,0,11
11,69,720,163477,166671,142760,5,1031,1,0,16
12,76,792,920332,924367,138088,0,1036,2,4,17
13,53,845,2174542,2181453,143159,2,1040,1,0,0
14,60,905,4502702,4511744,177328,6,1044,1,0,4
15,39,944,5425514,5437081,237363,6,1046,0,0,9
16,64,1004,2828671,2831822,286659,10,1048,3,4,9
17,67,1071,584501,588374,227512,8,1048,1,0,0
18,66,1137,417168,420078,164842,8,1048,0,0,0
19,43,1180,2896233,2900607,181286,15,1049,2,0,0
20,29,1209,6582383,6586951,237358,9,1049,1,0,1
21,53,1258,2511563,2513836,329761,0,1044,2,4,3
22,69,1327,1234432,1239893,279523,0,1047,0,0,11
23,41,1364,2454073,2459076,270694,1,1044,2,4,15
24,81,1437,604922,605496,254734,14,1046,3,8,9
25,54,1487,3018048,3021452,298898,0,1054,2,4,0
26,127,1614,1027533,1029046,273149,14,1056,1,0,3
27,51,1661,1939826,1944187,281025,23,1053,2,4,0
28,89,1750,1724519,1727788,274034,2,1049,0,0,17
29,95,1845,956043,958632,249630,17,1054,1,0,14
30,62,1907,843680,847931,219809,17,1054,0,0,0
31,55,1962,1653217,1658419,203532,4,1054,1,0,2
32,67,2029,1380868,1383442,192736,3,1057,2,0,13
33,89,2118,531715,535237,150932,3,1056,0,0,2
34,66,2180,1520474,1523504,144251,10,1054,2,4,5
35,35,2215,6694668,6705654,165856,10,1055,0,0,4
36,104,2307,1506255,1506466,200780,5,1050,5,12,0
37,63,2362,1582774,1583783,231767,21,1052,3,8,1
38,77,2435,746735,750506,223578,0,1051,2,4,5
