,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,357,124,263,86,712553,38,2022-05-17T01:48:44.584040Z
1,359,111,233,128,712553,38,2022-05-17T01:48:44.576296Z
2,170,48,559,51,712553,37,2022-05-13T19:03:05.935038Z
3,168,50,121,56,712553,37,2022-05-13T19:03:05.934257Z
4,154,69,138,76,712553,37,2022-05-13T19:03:05.926999Z
5,505,44,51,47,712553,36,2022-05-06T22:07:19.807250Z
6,257,61,376,41,712553,36,2022-05-06T03:36:37.760789Z
7,20,56,583,54,712553,36,2022-05-06T03:36:37.759905Z
8,180,75,518,52,712553,36,2022-05-06T03:36:37.756781Z
9,263,86,357,123,712553,36,2022-05-06T03:36:37.754027Z
10,138,76,359,109,712553,34,2022-04-21T15:46:04.195562Z
11,234,73,360,47,712553,34,2022-04-21T15:46:04.187379Z
12,5,42,208,40,712553,33,2022-04-16T02:56:15.040006Z
13,305,44,237,79,712553,33,2022-04-16T02:56:15.039646Z
14,22,68,485,89,712553,33,2022-04-16T02:56:15.039366Z
15,579,122,307,68,712553,33,2022-04-16T02:56:15.039026Z
16,208,40,360,48,712553,33,2022-04-16T01:24:26.400384Z
17,307,68,357,124,712553,33,2022-04-16T01:24:26.400110Z
18,277,116,51,47,712553,33,2022-04-16T01:24:26.399790Z
19,485,89,22,66,712553,33,2022-04-16T01:24:26.399522Z
20,295,44,559,51,712553,33,2022-04-16T01:24:26.399250Z
21,279,51,142,62,712553,33,2022-04-16T01:24:26.398976Z
22,245,37,121,56,712553,33,2022-04-16T01:24:26.398676Z
23,640,45,583,54,712553,33,2022-04-16T01:24:26.398405Z
24,26,53,503,45,712553,33,2022-04-16T01:24:26.398131Z
25,109,67,518,53,712553,33,2022-04-16T01:24:26.397809Z
26,54,39,376,41,712553,33,2022-04-16T01:24:26.397468Z
27,559,51,143,61,712553,32,2022-04-06T22:12:30.728863Z
28,142,62,16,51,712553,32,2022-04-06T22:12:30.722744Z
29,143,61,559,48,712553,31,2022-04-01T23:50:09.977772Z
30,360,47,142,62,712553,29,2022-03-11T01:12:56.139699Z
31,583,54,700,65,712553,28,2022-03-03T13:36:33.634771Z
32,357,123,450,61,712553,28,2022-03-03T13:36:33.634194Z
33,503,45,681,72,712553,28,2022-03-03T13:36:33.633656Z
34,51,48,420,70,712553,28,2022-03-03T13:36:33.633147Z
35,22,65,341,65,712553,28,2022-03-03T13:36:33.632593Z
36,16,51,510,44,712553,28,2022-03-03T13:36:33.632206Z
37,142,62,470,43,712553,28,2022-03-03T13:36:33.631647Z
38,121,56,259,58,712553,28,2022-03-03T13:36:33.631112Z
39,376,41,69,46,712553,28,2022-03-03T13:36:33.630519Z
40,341,65,240,81,712553,27,2022-02-24T17:47:12.319711Z
41,700,65,468,58,712553,27,2022-02-24T17:47:12.313732Z
42,359,107,251,121,712553,26,2022-02-16T15:48:51.768825Z
43,450,62,586,65,712553,25,2022-02-11T00:29:06.175626Z
44,681,71,26,54,712553,25,2022-02-11T00:29:06.169557Z
45,420,69,196,65,712553,24,2022-02-08T14:46:36.841213Z
46,586,65,6,84,712553,24,2022-02-08T05:22:53.458456Z
47,259,58,122,56,712553,24,2022-02-08T05:22:53.446046Z
48,470,43,142,60,712553,23,2022-01-21T13:53:21.574686Z
49,251,121,359,105,712553,23,2022-01-21T13:53:21.569713Z
50,584,51,71,45,712553,22,2022-01-14T17:45:19.331166Z
51,64,61,240,83,712553,22,2022-01-14T17:45:19.330493Z
52,127,62,584,51,712553,22,2022-01-14T17:36:25.188129Z
53,71,45,370,54,712553,22,2022-01-14T17:23:18.555573Z
54,277,116,64,61,712553,22,2022-01-14T17:21:48.783865Z
55,468,58,529,115,712553,22,2022-01-14T17:21:48.783504Z
