event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,54,54,4813264,4891423,4813256,0,1000,0,0,10
2,46,76,5641663,5642672,6246834,3,999,7,24,14
3,35,111,7181309,7213004,6581941,3,999,0,0,1
4,68,171,1743369,1748813,6269787,8,996,4,8,0
5,71,242,882862,910244,5460982,6,997,1,0,2
6,36,278,6022401,6122721,5598091,6,1001,0,0,2
7,55,333,536446,554310,4790313,1,1001,1,0,1
8,59,392,1802051,1858248,4257365,1,1003,1,0,0
9,68,460,3971408,3992039,4030068,0,1001,2,0,1
10,31,491,7192385,7220779,4303265,4,999,1,0,2
11,29,520,7509568,7526096,4621280,4,998,1,0,19
12,54,574,4916190,5000881,4633810,4,997,0,0,6
13,49,623,3146921,3186302,4475802,0,995,2,0,0
14,72,695,1539465,1576284,4170767,0,994,1,0,1
15,70,765,96264,103009,3547953,0,996,0,0,1
16,58,823,4017199,4050625,3513929,4,999,2,0,0
17,34,857,6700006,6783492,3777560,11,1001,0,0,0
18,43,900,3614256,3638500,3675828,9,1001,1,0,0
19,41,941,3272177,3298722,3561386,30,996,1,0,0
20,45,986,2171233,2270973,3386904,30,996,0,0,0
21,58,1044,1862931,1900491,3180659,30,1001,0,0,9
22,47,1091,5323736,5347845,3235931,2,999,2,0,23
23,41,1132,2231092,2352610,3123637,2,1001,0,0,10
24,38,1170,6224309,6230095,3363949,2,1005,2,0,1
25,67,1237,1017543,1035610,3035351,4,1006,1,0,0
26,109,1346,2193876,2200708,2762320,7,1005,1,0,12
27,51,1397,1917840,1938064,2617404,9,1004,1,0,0
28,66,1463,4425493,4498603,2686509,9,1001,0,0,13
29,95,1558,956043,969449,2450045,10,999,1,0,3
30,77,1635,106301,130841,1986942,10,1000,0,0,3
31,33,1668,7329619,7343702,2125957,2,1000,1,0,4
32,50,1718,3916024,4021853,2161507,2,999,0,0,9
33,52,1770,6326680,6338948,2304652,2,994,1,0,10
34,57,1827,3108177,3132114,2248577,2,993,2,0,11
35,41,1868,5054160,5200681,2293256,2,993,0,0,6
36,80,1948,3909585,3981380,2335237,2,992,0,0,24
37,56,2004,2103135,2150638,2236821,2,991,0,0,0
38,71,2075,1327048,1347689,2129875,0,987,2,0,0
