,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,265,79,144,60,6520504,38,2022-05-22T03:56:21.808893Z
1,359,112,233,129,6520504,38,2022-05-22T03:56:21.801393Z
2,518,55,413,75,6520504,34,2022-04-23T04:34:36.841294Z
3,256,71,370,51,6520504,34,2022-04-23T04:34:36.834604Z
4,212,70,261,70,6520504,33,2022-04-16T03:28:12.696226Z
5,200,48,606,40,6520504,31,2022-04-02T05:09:32.522580Z
6,78,66,450,59,6520504,30,2022-03-18T06:31:21.266744Z
7,212,67,261,71,6520504,30,2022-03-18T06:31:21.266472Z
8,359,109,233,130,6520504,30,2022-03-18T06:31:21.266192Z
9,681,75,144,61,6520504,30,2022-03-18T06:31:21.265764Z
10,207,52,510,43,6520504,30,2022-03-18T06:31:21.265262Z
11,16,51,229,66,6520504,30,2022-03-18T06:31:21.264730Z
12,44,52,121,56,6520504,30,2022-03-18T06:31:21.264209Z
13,199,48,606,40,6520504,30,2022-03-18T06:31:21.263682Z
14,475,53,376,40,6520504,30,2022-03-18T06:31:21.263142Z
15,22,66,420,67,6520504,29,2022-03-12T08:21:58.683681Z
16,357,122,579,124,6520504,27,2022-02-25T17:18:15.415388Z
17,51,48,236,51,6520504,26,2022-02-19T06:15:12.807565Z
18,370,54,122,56,6520504,25,2022-02-12T04:21:45.738554Z
19,233,127,255,107,6520504,24,2022-02-08T16:49:36.745202Z
20,606,40,231,60,6520504,24,2022-02-08T16:49:36.740790Z
21,236,51,359,103,6520504,22,2022-01-14T04:37:18.538897Z
22,579,125,577,45,6520504,22,2022-01-14T04:37:18.532141Z
23,255,106,233,127,6520504,19,2021-12-26T02:11:06.832670Z
24,429,45,470,43,6520504,18,2021-12-18T07:05:45.857958Z
25,420,65,421,50,6520504,17,2021-12-14T16:40:35.754690Z
26,577,45,533,45,6520504,17,2021-12-14T16:40:35.754323Z
27,413,79,568,45,6520504,17,2021-12-14T16:40:35.753816Z
28,470,43,91,46,6520504,17,2021-12-14T16:40:35.753316Z
29,144,62,274,49,6520504,17,2021-12-14T16:40:35.752781Z
30,450,59,579,125,6520504,17,2021-12-14T16:40:35.752239Z
31,274,49,435,57,6520504,16,2021-12-10T03:19:39.361460Z
32,510,44,56,40,6520504,16,2021-12-10T03:19:39.356547Z
33,121,55,411,55,6520504,14,2021-11-30T03:03:47.684973Z
34,421,50,188,51,6520504,13,2021-11-27T05:55:30.058355Z
35,122,56,168,51,6520504,13,2021-11-27T05:55:30.052525Z
36,411,55,122,55,6520504,11,2021-11-05T15:28:02.136101Z
37,261,71,272,75,6520504,10,2021-10-30T04:35:38.477228Z
38,579,125,529,116,6520504,9,2021-10-21T01:30:16.104855Z
39,91,46,275,54,6520504,9,2021-10-21T01:30:16.098307Z
40,376,40,204,40,6520504,8,2021-10-15T21:22:55.421917Z
41,188,54,130,49,6520504,7,2021-09-29T17:36:06.494252Z
42,275,55,252,53,6520504,5,2021-09-15T18:47:05.093306Z
43,533,45,348,45,6520504,4,2021-09-10T22:55:20.588478Z
44,130,49,215,68,6520504,4,2021-09-10T22:55:20.587877Z
45,568,45,228,88,6520504,4,2021-09-10T22:55:20.587325Z
46,233,125,212,68,6520504,4,2021-09-10T22:55:20.582263Z
47,529,115,278,79,6520504,2,2021-08-20T22:37:10.077472Z
48,348,45,189,80,6520504,2,2021-08-20T22:37:10.076556Z
49,435,60,261,70,6520504,2,2021-08-20T22:37:10.075559Z
50,359,100,164,70,6520504,2,2021-08-20T22:37:10.074502Z
51,272,76,154,70,6520504,2,2021-08-20T22:37:10.073559Z
52,56,40,253,55,6520504,2,2021-08-20T22:37:10.072526Z
53,204,40,353,55,6520504,2,2021-08-20T22:37:10.065381Z
