event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,71,71,3219559,3228184,3219554,0,1000,0,0,3
2,67,138,1741699,1746920,2051113,0,1001,1,0,8
3,65,195,1658212,1659840,2084034,8,1006,3,8,13
4,61,252,3187879,3192337,2129870,2,1007,2,4,0
5,61,313,2562959,2570549,1968890,1,1002,0,0,5
6,51,360,1891034,1895631,1884555,4,1006,2,4,0
7,40,400,3505297,3514921,1938836,2,1008,1,0,0
8,63,463,956967,962526,1577396,2,1008,0,0,2
9,75,538,3037211,3039839,1643305,2,1004,0,0,0
10,43,577,4163479,4165394,1758885,9,1002,3,4,0
11,53,630,1715971,1722952,1560250,9,1001,1,0,1
12,72,694,1486355,1487652,1502502,21,1005,3,8,10
13,45,735,4175733,4180537,1645602,16,1009,2,4,0
14,53,788,5927634,5933165,1917768,16,1009,0,0,2
15,43,831,4157878,4169122,1968379,16,1008,0,0,3
16,69,900,1869598,1875364,1781690,0,1007,2,0,7
17,49,949,3676918,3682829,1816010,3,1006,1,0,0
18,44,993,3425871,3429157,1813940,23,1004,1,0,0
19,50,1027,1738245,1738383,1902915,26,1003,5,16,0
20,44,1071,2374106,2381600,1769788,26,1004,0,0,0
21,47,1118,3446083,3452816,1856812,26,1004,0,0,9
22,30,1148,8007043,8009565,2237116,26,1007,0,0,0
23,22,1170,8075347,8079403,2458896,26,1005,0,0,0
24,64,1234,2219928,2224893,2328812,0,995,0,0,2
25,50,1284,3694996,3701641,2307041,0,998,0,0,8
26,96,1380,3427207,3428552,2295423,0,996,2,0,1
27,42,1422,3783797,3791284,2285340,0,995,0,0,1
28,55,1477,6148557,6152793,2507449,0,992,0,0,3
29,88,1565,1736060,1739524,2365226,0,993,0,0,5
30,41,1606,2543800,2545510,2290919,6,992,2,0,0
31,53,1659,1905078,1912768,2219351,6,995,0,0,9
32,38,1697,6611265,6612741,2377969,5,996,1,0,11
33,77,1774,2055468,2058459,2262466,9,994,2,0,7
34,50,1824,4556377,4565149,2278701,9,995,0,0,3
35,41,1865,5297286,5300499,2323586,2,995,2,0,7
36,65,1930,6283852,6288755,2511848,2,996,0,0,15
37,39,1969,4507311,4513529,2561422,2,996,0,0,3
38,40,2009,6353950,6354187,2710505,22,991,2,0,0
