,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,413,73,263,85,618986,38,2022-05-19T22:10:46.530829Z
1,251,121,233,129,618986,38,2022-05-19T22:10:46.523376Z
2,263,85,413,74,618986,35,2022-04-26T02:27:31.660018Z
3,697,49,298,53,618986,35,2022-04-26T02:27:31.655336Z
4,138,75,212,68,618986,33,2022-04-11T23:43:19.631519Z
5,699,56,22,67,618986,33,2022-04-11T23:43:19.623794Z
6,550,45,533,44,618986,32,2022-04-08T17:16:52.219176Z
7,212,67,261,72,618986,30,2022-03-18T02:38:29.536002Z
8,22,67,420,68,618986,30,2022-03-18T02:35:22.627764Z
9,298,53,144,60,618986,26,2022-02-15T23:29:20.427358Z
10,67,45,208,38,618986,26,2022-02-15T23:29:20.423267Z
11,533,44,63,65,618986,24,2022-02-06T20:22:01.521278Z
12,261,75,51,46,618986,24,2022-02-06T20:22:01.520448Z
13,208,38,361,45,618986,24,2022-02-06T20:22:01.519799Z
14,63,65,577,45,618986,24,2022-01-28T00:13:47.524733Z
15,307,67,263,85,618986,24,2022-01-28T00:13:47.524456Z
16,240,84,484,55,618986,24,2022-01-28T00:13:47.524166Z
17,420,68,419,59,618986,24,2022-01-28T00:13:47.523859Z
18,233,127,359,104,618986,24,2022-01-28T00:13:47.523588Z
19,51,46,261,75,618986,24,2022-01-28T00:13:47.523306Z
20,429,47,262,62,618986,24,2022-01-28T00:13:47.522952Z
21,229,67,237,80,618986,24,2022-01-28T00:13:47.522654Z
22,121,56,142,59,618986,24,2022-01-28T00:13:47.522384Z
23,256,71,23,53,618986,24,2022-01-28T00:13:47.522095Z
24,69,46,389,42,618986,24,2022-01-28T00:13:47.521794Z
25,257,61,143,61,618986,24,2022-01-28T00:13:47.521416Z
26,359,103,233,128,618986,19,2021-12-24T17:44:32.776142Z
27,261,76,70,44,618986,19,2021-12-24T17:43:40.451620Z
28,23,53,229,66,618986,19,2021-12-24T17:43:40.451059Z
29,361,45,87,39,618986,19,2021-12-24T17:43:40.450471Z
30,389,42,334,45,618986,19,2021-12-24T17:43:40.446499Z
31,263,86,205,106,618986,18,2021-12-17T00:10:58.979689Z
32,262,61,256,64,618986,17,2021-12-14T17:17:55.330742Z
33,87,39,275,51,618986,16,2021-12-10T16:41:12.834417Z
34,229,66,245,38,618986,16,2021-12-10T16:41:12.828748Z
35,205,107,579,124,618986,13,2021-11-20T20:37:48.504028Z
36,143,62,28,40,618986,13,2021-11-20T20:37:48.498724Z
37,413,82,263,86,618986,12,2021-11-19T05:57:10.555188Z
38,144,58,210,65,618986,12,2021-11-10T14:54:00.102367Z
39,334,45,69,46,618986,12,2021-11-07T17:22:51.138236Z
40,142,56,122,56,618986,11,2021-10-30T15:40:46.007740Z
41,263,86,307,67,618986,10,2021-10-29T20:27:50.417466Z
42,210,65,272,75,618986,10,2021-10-29T20:27:50.416913Z
43,419,65,141,81,618986,10,2021-10-29T20:27:50.412774Z
44,359,100,272,77,618986,8,2021-10-08T23:46:11.914092Z
45,419,66,141,82,618986,8,2021-10-08T23:46:11.913807Z
46,229,66,237,75,618986,8,2021-10-08T23:46:11.913510Z
47,262,61,122,58,618986,8,2021-10-08T23:46:11.913190Z
48,141,82,33,80,618986,7,2021-09-27T23:43:56.549034Z
49,579,127,529,116,618986,6,2021-09-23T23:10:37.526248Z
50,69,46,143,60,618986,6,2021-09-23T23:10:37.522116Z
51,529,116,413,78,618986,5,2021-09-17T15:52:18.079659Z
52,577,45,388,45,618986,5,2021-09-17T15:52:18.079395Z
53,307,66,189,79,618986,5,2021-09-17T15:52:18.079132Z
54,70,46,419,63,618986,5,2021-09-17T15:52:18.078847Z
55,33,80,359,100,618986,5,2021-09-17T15:52:18.078583Z
56,484,57,138,74,618986,5,2021-09-17T15:52:18.078316Z
57,237,75,361,45,618986,5,2021-09-17T15:52:18.078035Z
58,28,40,376,40,618986,5,2021-09-17T15:52:18.077675Z
59,143,60,30,55,618986,4,2021-08-30T18:25:29.069881Z
60,122,56,142,55,618986,4,2021-08-30T01:24:10.390753Z
61,413,77,205,105,618986,3,2021-08-26T19:08:51.955522Z
62,272,77,250,74,618986,3,2021-08-26T19:08:51.954955Z
63,419,62,145,45,618986,3,2021-08-26T19:08:51.948063Z
64,361,45,67,45,618986,2,2021-08-19T16:40:09.698792Z
