event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,96,96,633476,645752,633473,5,1000,0,0,4
2,70,166,1265131,1272006,559688,5,1004,0,0,7
3,61,227,2484002,2489810,620209,12,1006,2,0,3
4,61,288,3140197,3144006,635515,12,1005,1,0,11
5,69,353,1185865,1188067,535269,16,1006,2,4,5
6,39,392,5174627,5180289,744595,16,1012,0,0,6
7,43,435,2710713,2717085,744378,10,1013,2,0,0
8,60,495,1485530,1491650,634249,0,1015,0,0,9
9,90,585,1162581,1165596,495399,9,1020,1,0,2
10,55,640,1258889,1261864,362375,9,1024,0,0,15
11,73,713,71115,72273,187911,9,1025,1,0,21
12,77,790,780688,784278,148399,11,1030,1,0,9
13,53,843,2174542,2179452,152941,10,1035,1,0,0
14,55,898,5655479,5658898,219573,0,1039,1,0,3
15,39,937,5629757,5634878,287725,24,1040,1,0,8
16,77,1014,763455,765739,219340,9,1043,1,0,9
17,55,1069,2376921,2380639,239226,2,1050,2,0,0
18,46,1115,3058937,3061710,282052,0,1047,1,0,0
19,42,1153,3096148,3099455,328961,15,1042,2,4,0
20,39,1192,3744135,3748194,333376,9,1044,1,0,0
21,80,1268,491428,494591,278296,5,1042,2,4,1
22,74,1338,863121,864157,231972,10,1043,2,4,9
23,30,1368,5990152,5997810,252984,10,1047,0,0,5
24,70,1438,1573792,1577400,250107,15,1052,1,0,2
25,76,1514,346699,348489,194836,12,1053,2,0,4
26,127,1637,1036185,1038257,195380,8,1052,2,4,18
27,66,1703,266146,266533,152464,10,1051,1,0,0
28,75,1774,3269870,3271511,199964,0,1050,2,4,5
29,84,1858,2448119,2450934,212078,1,1048,1,0,5
30,58,1916,1057268,1059473,196209,1,1048,0,0,5
31,46,1962,3564954,3572547,203532,1,1049,0,0,5
32,63,2025,1861846,1863934,202651,2,1043,2,0,2
33,67,2092,3795576,3798096,208969,7,1042,1,0,14
34,56,2144,3328561,3331729,222736,3,1041,2,4,4
35,69,2213,464993,466604,170143,3,1033,0,0,7
36,111,2324,1069727,1070447,165186,2,1035,1,0,0
37,95,2419,256597,257793,122840,2,1038,0,0,15
38,71,2482,1349277,1350569,133402,13,1035,3,8,9
