,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,212,69,681,70,480734,38,2022-05-22T13:26:04.105109Z
1,251,121,233,131,480734,38,2022-05-22T13:26:04.104564Z
2,121,56,122,56,480734,38,2022-05-22T13:26:04.098473Z
3,368,43,245,37,480734,37,2022-05-15T08:44:41.134655Z
4,212,69,22,66,480734,37,2022-05-15T08:29:15.980461Z
5,357,124,20,56,480734,37,2022-05-15T08:29:15.980187Z
6,505,44,503,46,480734,37,2022-05-15T08:29:15.979912Z
7,493,43,237,79,480734,37,2022-05-15T08:29:15.979603Z
8,264,53,256,66,480734,37,2022-05-15T08:29:15.979331Z
9,675,49,122,56,480734,37,2022-05-15T08:29:15.979036Z
10,170,48,200,49,480734,37,2022-05-15T08:29:15.978657Z
11,337,77,315,61,480734,37,2022-05-15T08:08:21.998053Z
12,180,76,450,58,480734,37,2022-05-15T08:08:21.997768Z
13,54,39,376,41,480734,37,2022-05-15T08:08:21.997473Z
14,154,69,681,70,480734,37,2022-05-15T08:08:21.997142Z
15,251,120,233,131,480734,37,2022-05-15T08:08:21.996638Z
16,245,37,234,73,480734,37,2022-05-15T08:08:21.996294Z
17,200,49,559,48,480734,36,2022-05-07T10:08:54.874645Z
18,315,61,550,46,480734,35,2022-04-30T07:21:07.697859Z
19,450,58,357,123,480734,35,2022-04-30T07:21:07.697589Z
20,359,110,701,63,480734,35,2022-04-30T07:21:07.697234Z
21,20,55,518,54,480734,35,2022-04-30T01:44:15.594634Z
22,503,46,240,79,480734,35,2022-04-30T01:44:15.594146Z
23,681,70,138,77,480734,35,2022-04-30T01:44:15.593781Z
24,44,53,491,42,480734,35,2022-04-30T01:44:15.593385Z
25,122,56,121,56,480734,35,2022-04-30T01:44:15.592837Z
26,234,73,62,42,480734,35,2022-04-30T01:44:15.592193Z
27,550,46,159,53,480734,34,2022-04-23T06:56:05.844304Z
28,138,77,215,66,480734,34,2022-04-23T06:56:05.840164Z
29,159,53,450,58,480734,33,2022-04-16T07:14:03.721389Z
30,215,66,144,58,480734,32,2022-04-08T16:32:58.844597Z
31,701,63,681,72,480734,32,2022-04-08T16:32:58.837890Z
32,220,43,491,42,480734,30,2022-03-18T18:29:30.120476Z
33,6,84,518,54,480734,30,2022-03-18T08:26:45.412210Z
34,215,65,144,58,480734,30,2022-03-18T08:26:07.681828Z
35,430,76,450,60,480734,30,2022-03-18T08:23:25.390959Z
36,429,49,256,65,480734,30,2022-03-18T08:23:25.390341Z
37,431,51,121,56,480734,30,2022-03-18T08:23:25.389761Z
38,701,62,240,79,480734,30,2022-03-18T08:21:35.246175Z
39,359,109,233,132,480734,30,2022-03-18T08:21:35.245815Z
40,22,66,420,67,480734,29,2022-03-12T08:09:09.682200Z
41,62,42,510,44,480734,28,2022-03-05T06:15:51.923425Z
42,121,56,364,44,480734,28,2022-03-05T06:15:51.917727Z
43,357,122,579,124,480734,27,2022-02-25T07:23:46.039991Z
44,518,54,63,65,480734,26,2022-02-19T05:00:37.891005Z
45,233,131,277,116,480734,26,2022-02-19T05:00:37.883663Z
46,510,46,56,41,480734,25,2022-02-12T00:18:24.306056Z
47,681,72,261,74,480734,25,2022-02-11T03:41:02.542080Z
48,376,41,69,46,480734,24,2022-02-08T18:04:36.298796Z
49,450,61,40,77,480734,22,2022-01-14T18:24:37.062374Z
50,277,116,359,105,480734,22,2022-01-14T18:24:37.057091Z
51,420,66,50,45,480734,21,2022-01-01T09:16:16.747220Z
52,364,45,142,62,480734,21,2022-01-01T09:16:16.743351Z
53,69,46,376,40,480734,20,2021-12-28T09:22:27.419944Z
54,63,64,450,56,480734,19,2021-12-26T13:03:03.821096Z
55,359,104,233,127,480734,19,2021-12-26T13:03:03.817090Z
56,40,78,413,76,480734,18,2021-12-18T10:54:09.705973Z
57,50,45,96,55,480734,17,2021-12-12T18:15:38.650469Z
58,579,124,205,107,480734,17,2021-12-12T18:15:38.646143Z
59,261,76,578,61,480734,16,2021-12-10T18:12:44.066641Z
60,450,53,430,77,480734,15,2021-12-01T22:48:26.670439Z
61,240,76,196,66,480734,14,2021-11-28T01:27:25.598575Z
62,142,61,135,60,480734,13,2021-11-26T16:51:06.141487Z
63,578,61,419,63,480734,12,2021-11-20T09:55:19.771378Z
64,135,60,119,60,480734,11,2021-11-05T16:03:56.937624Z
65,205,107,529,116,480734,9,2021-10-22T08:16:58.393837Z
66,237,75,127,57,480734,8,2021-10-16T05:37:53.109143Z
67,96,55,50,45,480734,8,2021-10-16T05:37:53.108448Z
68,376,40,54,40,480734,8,2021-10-16T05:37:53.107903Z
69,529,117,579,125,480734,8,2021-10-16T05:37:53.107410Z
70,430,76,583,55,480734,8,2021-10-16T05:37:53.107129Z
71,559,46,69,45,480734,8,2021-10-16T05:37:53.106791Z
72,119,60,302,40,480734,8,2021-10-04T12:29:05.515986Z
73,583,55,529,117,480734,8,2021-10-04T12:27:03.455233Z
74,127,57,237,75,480734,8,2021-10-02T19:01:38.631969Z
75,50,45,145,45,480734,8,2021-10-02T19:01:38.631647Z
76,529,117,337,79,480734,8,2021-10-02T19:01:38.631341Z
77,56,43,67,44,480734,8,2021-10-02T19:01:38.631021Z
78,256,61,122,60,480734,8,2021-10-02T19:01:38.630744Z
79,302,40,133,50,480734,8,2021-10-02T19:01:38.630384Z
80,122,60,418,50,480734,7,2021-10-02T09:09:56.877021Z
81,133,50,275,54,480734,7,2021-10-02T09:09:56.871222Z
82,579,125,78,64,480734,5,2021-09-12T22:18:42.046653Z
83,144,55,277,120,480734,5,2021-09-12T22:18:42.042806Z
84,491,41,245,41,480734,4,2021-08-29T23:19:48.935270Z
85,196,65,43,64,480734,3,2021-08-24T20:42:27.119237Z
86,419,62,215,70,480734,3,2021-08-24T20:42:27.114905Z
