event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,82,82,2004689,2092472,2004686,5,1000,0,0,9
2,78,160,485894,518502,799104,5,1001,0,0,8
3,68,228,958670,989258,576167,5,1004,0,0,5
4,53,281,4941401,5002027,831411,5,1003,0,0,1
5,57,338,3639768,3680347,935877,4,1004,1,0,8
6,57,395,827611,844628,657098,7,1008,2,0,11
7,35,430,5047822,5101369,866869,26,1009,1,0,8
8,54,484,2954445,3027437,901776,26,1010,0,0,1
9,67,551,4008406,4036660,1254647,15,1005,0,0,3
10,45,596,3500328,3544451,1214415,15,1011,1,0,2
11,45,641,3405169,3477199,1270008,15,1012,0,0,16
12,76,717,850026,871176,992086,15,1013,0,0,2
13,35,752,6613334,6630708,1258616,13,1012,2,0,0
14,49,801,6586599,6634335,1603459,13,1012,0,0,4
15,36,837,6558996,6582317,1819275,8,1008,2,0,6
16,52,889,5107021,5168654,2004997,8,1006,0,0,0
17,30,915,7439017,7440068,2519177,4,1000,3,4,0
18,18,933,7953078,7955530,2999080,5,997,1,0,0
19,44,977,2565680,2623189,2845684,5,996,0,0,0
20,30,1007,6112770,6214963,2966388,5,996,0,0,0
21,46,1053,3665740,3754244,3005254,5,997,0,0,1
22,58,1111,2818301,2883890,2870384,5,996,0,0,2
23,45,1156,1318566,1382131,2693107,5,996,0,0,6
24,46,1202,4716512,4775329,2832227,5,998,0,0,0
25,38,1240,6628517,6638990,2980800,11,998,2,0,2
26,149,1389,137911,141849,2171252,11,995,0,0,13
27,39,1428,4582170,4677913,2202509,11,994,0,0,1
28,64,1492,4731692,4786726,2315663,11,992,0,0,10
29,72,1564,4630530,4693338,2372442,11,992,0,0,16
30,10,1574,7036145,7122034,2640790,11,990,0,0,0
31,50,1624,2544383,2633075,2595286,11,991,0,0,9
32,38,1662,6434630,6517986,2750907,11,989,0,0,9
33,78,1740,1772277,1828424,2619777,11,985,0,0,9
34,63,1803,1842930,1893110,2493139,11,985,0,0,2
35,27,1830,8314778,8369047,2685340,11,985,0,0,6
36,130,1956,418932,421244,2254533,1,984,3,4,0
37,35,1991,5299076,5382789,2351237,1,984,0,0,3
38,54,2045,3603686,3673202,2383007,1,983,0,0,0
