,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,122,57,370,51,5083876,36,2022-05-03T15:54:21.569330Z
1,40,75,413,74,5083876,36,2022-05-03T15:54:21.568742Z
2,266,55,96,52,5083876,36,2022-05-03T15:54:21.561035Z
3,234,71,127,60,5083876,25,2022-02-09T04:49:27.175913Z
4,307,68,263,85,5083876,25,2022-02-09T04:49:27.170030Z
5,251,118,230,119,5083876,18,2021-12-16T14:48:52.019341Z
6,450,59,307,66,5083876,17,2021-12-14T17:33:29.399548Z
7,144,62,482,53,5083876,17,2021-12-14T17:33:29.398867Z
8,229,67,256,65,5083876,17,2021-12-14T17:33:29.394464Z
9,263,87,430,77,5083876,15,2021-12-03T16:22:04.441405Z
10,370,52,135,57,5083876,15,2021-12-03T16:22:04.435765Z
11,127,59,119,58,5083876,13,2021-11-22T22:28:01.213474Z
12,230,119,251,118,5083876,13,2021-11-22T22:28:01.206390Z
13,69,46,80,46,5083876,10,2021-10-29T14:37:06.466075Z
14,80,46,69,46,5083876,9,2021-10-22T16:07:37.169020Z
15,376,40,30,55,5083876,9,2021-10-22T16:07:37.168644Z
16,256,63,411,55,5083876,9,2021-10-22T16:03:19.005099Z
17,30,55,376,40,5083876,9,2021-10-22T16:03:19.004811Z
18,69,46,143,61,5083876,9,2021-10-22T16:03:19.004486Z
19,430,76,337,78,5083876,9,2021-10-22T15:57:43.965577Z
20,96,56,399,62,5083876,9,2021-10-22T15:57:43.965268Z
21,365,49,240,75,5083876,9,2021-10-22T15:57:43.964939Z
22,251,120,115,44,5083876,9,2021-10-22T15:57:43.964470Z
23,482,57,33,79,5083876,9,2021-10-22T15:57:43.964175Z
24,56,44,275,53,5083876,9,2021-10-22T15:57:43.963899Z
25,491,43,208,40,5083876,9,2021-10-22T15:57:43.963600Z
26,376,40,69,45,5083876,9,2021-10-22T15:57:43.963290Z
27,143,61,30,55,5083876,9,2021-10-22T15:57:43.962944Z
28,119,61,127,57,5083876,9,2021-10-18T15:06:36.037873Z
29,135,57,122,58,5083876,9,2021-10-18T15:06:36.032629Z
30,127,56,237,75,5083876,7,2021-09-27T16:42:50.570543Z
31,399,61,196,65,5083876,6,2021-09-21T18:20:09.565303Z
32,122,57,135,56,5083876,6,2021-09-20T16:58:36.665996Z
33,307,65,78,64,5083876,5,2021-09-16T19:23:45.894783Z
