event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,82,82,2004689,2020049,2004686,15,1000,0,0,2
2,84,166,180128,184712,559688,15,1002,0,0,2
3,69,235,905720,912752,383279,35,1004,2,0,2
4,73,304,906088,910674,284228,19,1004,2,4,13
5,67,371,1465141,1472343,201642,14,1003,1,0,5
6,44,415,3620764,3632799,263462,14,1008,0,0,6
7,38,453,4200754,4211477,355727,10,1006,2,0,6
8,68,521,448667,451261,199450,2,1009,1,0,2
9,87,608,1507030,1511751,197607,13,1015,1,0,13
10,38,646,5480063,5487489,295207,6,1020,1,0,8
11,56,702,1221759,1230233,278299,9,1022,1,0,9
12,82,784,354804,356721,183559,5,1028,0,0,12
13,62,846,715813,719146,138481,5,1037,0,0,0
14,78,924,665795,670334,91281,4,1039,1,0,4
15,51,975,2112509,2120310,84467,20,1038,1,0,6
16,62,1037,3186443,3193216,107010,28,1042,2,0,1
17,65,1102,732370,736109,89674,28,1043,0,0,0
18,69,1171,296773,298872,55470,18,1040,2,0,0
19,31,1198,5598100,5602009,112560,28,1041,2,4,0
20,58,1256,536428,538768,71105,26,1040,1,0,0
21,79,1331,544685,549085,67648,24,1040,2,4,0
22,55,1386,3417247,3428586,82310,24,1044,0,0,11
23,41,1427,2406078,2414221,69560,27,1046,1,0,17
24,60,1487,2802152,2807349,92866,28,1050,1,0,7
25,73,1560,507733,511067,76147,41,1051,1,0,2
26,134,1686,668144,668978,79001,10,1045,4,8,11
27,66,1752,231560,237184,57917,10,1046,0,0,13
28,55,1803,6285180,6286728,128822,2,1043,2,4,7
29,80,1883,3181346,3186202,150017,15,1042,1,0,14
30,69,1952,453281,464120,117200,15,1041,0,0,7
31,57,2009,1237887,1245897,103261,15,1041,0,0,3
32,78,2087,492554,495001,81194,17,1043,1,0,4
33,79,2162,1760954,1762333,77381,6,1039,3,4,3
34,80,2242,333669,335195,54685,0,1039,0,0,11
35,30,2272,7817193,7826716,73027,0,1043,0,0,3
36,180,2452,10087,10184,19289,2,1045,2,0,0
37,58,2506,1986338,1988426,30711,30,1049,2,4,8
38,66,2572,1910609,1915336,33265,2,1051,1,0,8
