,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,205,103,180,75,849616,38,2022-05-22T13:16:57.468587Z
1,44,53,259,59,849616,37,2022-05-15T01:24:07.404838Z
2,359,110,233,132,849616,37,2022-05-14T23:36:18.056277Z
3,20,56,550,46,849616,36,2022-05-07T03:45:24.263636Z
4,180,75,134,87,849616,36,2022-05-04T23:46:38.955072Z
5,503,46,141,79,849616,34,2022-04-23T05:23:01.445225Z
6,134,87,20,54,849616,34,2022-04-23T05:23:01.444843Z
7,550,46,577,47,849616,34,2022-04-23T01:38:12.578175Z
8,588,45,364,44,849616,34,2022-04-23T01:38:12.577771Z
9,122,55,142,63,849616,34,2022-04-23T00:16:49.748636Z
10,20,54,518,54,849616,34,2022-04-23T00:16:49.748347Z
11,577,47,134,86,849616,34,2022-04-23T00:16:49.748076Z
12,259,59,305,44,849616,34,2022-04-23T00:16:49.747803Z
13,251,118,359,109,849616,34,2022-04-23T00:16:49.747505Z
14,141,79,505,44,849616,34,2022-04-23T00:16:49.747168Z
15,200,49,559,51,849616,34,2022-04-17T20:01:34.747204Z
16,364,44,429,48,849616,34,2022-04-17T19:57:56.971929Z
17,315,59,700,64,849616,34,2022-04-17T19:57:56.971625Z
18,134,86,468,56,849616,34,2022-04-17T19:57:56.971225Z
19,138,76,163,42,849616,34,2022-04-17T19:57:56.970856Z
20,142,63,360,48,849616,34,2022-04-17T18:46:12.960688Z
21,163,42,277,116,849616,34,2022-04-17T18:46:12.960339Z
22,505,44,420,67,849616,33,2022-04-15T23:48:06.583395Z
23,277,116,196,65,849616,33,2022-04-15T23:48:06.582391Z
24,305,44,127,61,849616,33,2022-04-15T23:48:06.575328Z
25,360,49,168,51,849616,32,2022-04-08T11:50:56.266762Z
26,411,54,429,48,849616,30,2022-03-18T18:22:34.032388Z
27,200,48,559,51,849616,30,2022-03-18T18:15:41.746405Z
28,6,84,78,66,849616,30,2022-03-18T18:15:41.746076Z
29,208,39,127,61,849616,30,2022-03-18T18:15:41.745720Z
30,475,53,376,41,849616,30,2022-03-18T18:13:25.506748Z
31,16,51,256,65,849616,30,2022-03-18T18:13:25.506204Z
32,430,76,6,84,849616,30,2022-03-18T18:13:25.505616Z
33,370,52,168,51,849616,30,2022-03-18T17:49:05.239965Z
34,44,52,237,80,849616,30,2022-03-18T14:23:29.833204Z
35,215,65,233,132,849616,30,2022-03-18T14:23:29.832909Z
36,681,75,420,66,849616,30,2022-03-18T14:23:29.832570Z
37,78,66,518,54,849616,30,2022-03-18T14:23:29.832228Z
