event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,106,106,122432,142819,122431,5,1000,0,0,3
2,78,184,485894,512823,105493,5,1004,0,0,4
3,52,236,4525466,4559128,351378,15,1008,1,0,4
4,65,301,2150253,2194078,325232,15,1008,0,0,8
5,66,359,1723540,1725509,403916,4,1009,4,8,3
6,42,401,4398230,4446299,529697,11,1014,1,0,3
7,41,442,3075801,3127643,568808,10,1011,0,0,10
8,57,499,2169445,2219094,542859,10,1017,0,0,3
9,95,594,691713,703071,353111,10,1021,0,0,14
10,58,652,944181,956895,230558,49,1022,2,0,10
11,64,716,396926,412780,167970,2,1026,1,0,21
12,64,780,2860631,2891114,208086,0,1032,1,0,5
13,43,823,4509192,4558536,277570,0,1035,0,0,0
14,80,903,478004,489769,188169,3,1037,1,0,2
15,53,956,1662065,1687504,165388,6,1036,1,0,4
16,65,1021,2592880,2619202,179534,1,1040,2,0,1
17,63,1084,947324,968706,159357,1,1044,0,0,0
18,54,1138,1710450,1727814,160211,1,1043,1,0,0
19,58,1192,810289,813601,132746,1,1042,3,4,9
20,35,1227,4670444,4749675,157938,1,1044,0,0,0
21,84,1311,296618,306097,115020,0,1039,2,0,1
22,61,1368,2406101,2421832,127191,13,1039,2,4,0
23,24,1392,7858908,7872617,160224,16,1039,1,0,9
24,74,1466,1155468,1174031,148612,6,1042,1,0,3
25,50,1516,3694996,3750642,187608,6,1042,0,0,0
26,148,1664,163342,166518,123121,6,1042,2,0,21
27,69,1729,150764,152379,95358,0,1040,2,4,2
28,43,1772,7776046,7805295,205004,0,1041,0,0,5
29,81,1849,3049474,3057275,237549,5,1038,3,4,5
30,61,1910,894387,913678,211504,5,1037,0,0,6
31,49,1955,2993556,3012293,222415,5,1029,2,4,12
32,72,2027,895133,905162,197536,6,1030,1,0,1
33,67,2094,3795576,3809141,203999,14,1029,1,0,20
34,70,2164,978096,998847,176368,0,1020,0,0,5
35,42,2206,4776157,4855868,185162,0,1023,0,0,2
36,110,2312,1136538,1140106,189553,6,1018,3,4,0
37,65,2377,1383585,1400727,198700,6,1019,0,0,10
38,65,2442,2043529,2059185,207679,2,1020,1,0,1
