,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,696,81,138,77,3882246,38,2022-05-20T23:08:10.895973Z
1,533,44,518,53,3882246,37,2022-05-14T22:12:27.937801Z
2,205,103,357,124,3882246,37,2022-05-14T22:12:27.937546Z
3,337,77,213,70,3882246,37,2022-05-14T22:12:27.937273Z
4,681,71,22,66,3882246,37,2022-05-14T22:12:27.937007Z
5,251,120,138,77,3882246,37,2022-05-14T22:12:27.936746Z
6,359,110,701,63,3882246,37,2022-05-14T22:12:27.936483Z
7,154,69,254,86,3882246,37,2022-05-14T22:12:27.936197Z
8,588,45,364,44,3882246,37,2022-05-14T22:12:27.935928Z
9,675,49,234,73,3882246,37,2022-05-14T22:12:27.935663Z
10,44,53,237,84,3882246,37,2022-05-14T22:12:27.935376Z
11,142,64,259,59,3882246,37,2022-05-14T22:12:27.935010Z
12,254,86,505,44,3882246,36,2022-05-07T02:00:29.644067Z
13,213,70,104,52,3882246,36,2022-05-07T02:00:29.641062Z
14,701,63,233,129,3882246,36,2022-05-07T02:00:29.637857Z
15,505,44,359,109,3882246,34,2022-04-22T23:39:39.703891Z
16,138,77,701,62,3882246,34,2022-04-22T23:39:39.703616Z
17,364,44,491,41,3882246,34,2022-04-22T23:39:39.703352Z
18,237,84,142,62,3882246,34,2022-04-22T23:39:39.703096Z
19,104,52,700,64,3882246,34,2022-04-22T23:39:39.702794Z
20,357,126,450,58,3882246,34,2022-04-22T23:39:39.702530Z
21,503,46,212,70,3882246,34,2022-04-22T23:39:39.702257Z
22,200,49,112,54,3882246,34,2022-04-22T23:39:39.701954Z
23,259,59,360,47,3882246,34,2022-04-22T23:39:39.701608Z
24,212,70,265,78,3882246,33,2022-04-15T19:30:19.618590Z
25,360,49,584,50,3882246,32,2022-04-07T17:56:11.151986Z
26,234,73,237,79,3882246,31,2022-04-02T04:50:55.969527Z
27,112,54,559,48,3882246,31,2022-04-02T04:50:55.965698Z
28,200,48,561,39,3882246,30,2022-03-18T15:44:01.842675Z
29,360,48,370,52,3882246,30,2022-03-18T15:40:41.557033Z
30,6,84,700,65,3882246,30,2022-03-17T20:24:11.541758Z
31,430,76,518,54,3882246,30,2022-03-17T20:24:11.541499Z
32,357,124,450,60,3882246,30,2022-03-17T20:24:11.541231Z
33,681,75,359,108,3882246,30,2022-03-17T20:24:11.540974Z
34,212,67,265,79,3882246,30,2022-03-17T20:24:11.540695Z
35,51,48,233,129,3882246,30,2022-03-17T20:24:11.540445Z
36,91,45,584,50,3882246,30,2022-03-17T20:24:11.540173Z
37,370,52,491,42,3882246,30,2022-03-17T20:24:11.539907Z
38,431,50,256,69,3882246,30,2022-03-17T20:24:11.539620Z
39,44,52,237,80,3882246,30,2022-03-17T20:24:11.539337Z
40,16,51,142,62,3882246,30,2022-03-17T20:24:11.539062Z
41,561,39,559,48,3882246,30,2022-03-17T20:24:11.538750Z
42,475,53,376,40,3882246,30,2022-03-17T20:24:11.538425Z
43,701,61,196,65,3882246,29,2022-03-11T15:39:31.670310Z
44,22,66,420,67,3882246,29,2022-03-11T15:39:31.665008Z
45,142,62,262,62,3882246,29,2022-03-05T16:39:58.319066Z
46,265,79,21,55,3882246,27,2022-02-25T17:44:42.318689Z
47,700,65,6,83,3882246,27,2022-02-25T17:44:42.312828Z
48,518,54,413,77,3882246,26,2022-02-19T07:37:57.654331Z
49,359,107,240,84,3882246,26,2022-02-19T07:37:57.650576Z
50,240,85,261,75,3882246,24,2022-02-08T14:36:25.934618Z
51,450,61,63,64,3882246,23,2022-01-21T18:06:18.435308Z
52,256,70,510,44,3882246,22,2022-01-14T18:26:48.183837Z
53,196,65,359,104,3882246,22,2022-01-14T18:26:48.176042Z
54,413,78,307,66,3882246,21,2021-12-31T20:48:01.032341Z
55,584,50,142,61,3882246,21,2021-12-31T20:48:01.026875Z
56,63,64,40,78,3882246,19,2021-12-26T06:21:50.564191Z
57,6,85,450,57,3882246,19,2021-12-26T06:21:50.563619Z
58,420,65,240,79,3882246,19,2021-12-26T06:21:50.557906Z
59,40,77,413,77,3882246,18,2021-12-18T00:03:42.658996Z
60,510,44,133,48,3882246,16,2021-12-07T01:34:35.828506Z
61,261,75,196,66,3882246,16,2021-12-07T01:34:35.819803Z
62,450,54,583,57,3882246,15,2021-12-03T20:45:15.750471Z
63,240,78,265,81,3882246,14,2021-11-30T14:05:03.937528Z
64,142,60,127,58,3882246,12,2021-11-20T05:39:19.108516Z
65,359,102,96,55,3882246,11,2021-11-04T18:07:56.578447Z
66,265,81,419,62,3882246,10,2021-10-28T19:25:53.779256Z
67,583,57,529,115,3882246,10,2021-10-26T21:58:30.742137Z
68,96,55,145,45,3882246,7,2021-10-01T20:32:17.819193Z
69,529,117,579,126,3882246,7,2021-10-01T20:32:17.818937Z
70,559,45,69,45,3882246,7,2021-10-01T20:32:17.818666Z
71,262,61,62,44,3882246,7,2021-10-01T20:32:17.818352Z
72,21,53,484,58,3882246,7,2021-10-01T20:32:17.818078Z
73,307,68,189,78,3882246,7,2021-10-01T20:32:17.817733Z
74,196,65,268,70,3882246,7,2021-10-01T20:32:17.817369Z
75,127,57,275,54,3882246,7,2021-10-01T20:32:17.817068Z
76,133,50,418,50,3882246,7,2021-10-01T20:32:17.816741Z
77,484,58,196,65,3882246,6,2021-09-24T23:15:05.626919Z
78,189,79,177,82,3882246,5,2021-09-13T18:49:04.022559Z
79,177,82,78,64,3882246,5,2021-09-11T12:52:24.058610Z
80,579,125,337,80,3882246,5,2021-09-11T12:52:24.058195Z
81,268,71,277,120,3882246,5,2021-09-11T12:52:24.054053Z
82,196,65,240,75,3882246,3,2021-08-27T20:28:12.945358Z
