event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,69,69,3436438,3444105,3436433,20,1000,0,0,0
2,56,125,3565554,3571410,3054532,20,1002,0,0,2
3,60,177,2778079,2778489,3277219,1,1003,4,8,2
4,61,234,3187879,3192333,3207749,2,1002,2,4,1
5,63,293,2283229,2287207,2980357,8,1000,2,4,5
6,49,334,2427850,2429018,3092635,6,1004,3,8,4
7,45,379,2036166,2042517,2820070,6,1007,0,0,9
8,56,435,2421451,2429770,2613386,6,1008,0,0,4
9,54,489,5513411,5515290,3164820,15,1008,2,0,13
10,32,521,6873667,6877463,3429900,15,1008,0,0,0
11,38,559,5298541,5304823,3544197,15,1004,0,0,0
12,38,597,7626908,7629319,4042989,15,1002,0,0,6
13,50,647,2736844,2742100,3874243,15,999,0,0,0
14,53,700,5927634,5933150,4048135,7,999,0,0,2
15,28,728,8021200,8024448,4384648,7,997,0,0,2
16,55,783,4494057,4498249,4368394,7,994,0,0,0
17,43,826,4927807,4933065,4396032,7,993,0,0,0
18,42,868,3685810,3690516,4288704,7,987,0,0,0
19,45,901,2559802,2559949,4315969,22,985,5,12,0
20,30,931,6112770,6121357,4430081,22,987,0,0,0
21,32,963,7033288,7038791,4634890,22,985,0,0,0
22,37,1000,7071226,7075108,4822457,22,983,0,0,0
23,25,1025,7465648,7472318,4972866,22,983,0,0,0
24,43,1068,5200941,5205678,4998820,22,987,0,0,2
25,15,1083,8905098,8905432,5445810,22,990,0,0,0
26,102,1185,2755510,2758110,5060776,22,989,0,0,0
27,31,1216,6688625,6695338,5157721,22,988,0,0,0
28,63,1279,4888229,4892564,5162892,22,986,0,0,7
29,68,1347,5381126,5386079,5146687,22,985,0,0,2
30,25,1372,4159850,4163655,5110265,22,982,0,0,0
31,41,1413,4988701,4998281,5127046,22,983,0,0,13
32,39,1452,6228052,6234931,5210029,22,984,0,0,2
33,61,1513,4752443,4757664,5211986,22,981,0,0,3
34,44,1557,6007587,6015773,5273019,22,982,0,0,6
35,27,1584,8314778,8319144,5455836,22,985,0,0,9
36,71,1655,5308296,5313358,5465748,22,984,0,0,7
37,35,1690,5299076,5305768,5486031,22,983,0,0,0
38,43,1733,5606372,5612649,5483441,22,982,0,0,0
