,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,40,79,525,58,617728,19,2021-12-25T22:50:49.232681Z
1,307,66,413,78,617728,19,2021-12-25T22:50:49.232173Z
2,450,60,205,105,617728,19,2021-12-25T22:50:49.231701Z
3,240,81,482,52,617728,19,2021-12-25T22:50:49.231210Z
4,364,45,411,53,617728,19,2021-12-25T22:50:49.225764Z
5,525,60,337,77,617728,14,2021-11-27T15:28:26.467774Z
6,482,56,399,60,617728,14,2021-11-27T15:28:26.467497Z
7,144,61,272,74,617728,14,2021-11-27T15:28:26.467222Z
8,21,59,125,51,617728,14,2021-11-27T15:28:26.466939Z
9,491,46,275,52,617728,14,2021-11-27T15:28:26.466658Z
10,142,62,245,39,617728,14,2021-11-27T15:28:26.466388Z
11,94,39,181,40,617728,14,2021-11-27T15:28:26.466081Z
12,143,63,69,45,617728,14,2021-11-27T15:28:26.465694Z
13,205,105,529,116,617728,9,2021-10-17T16:51:29.583486Z
14,256,63,262,61,617728,9,2021-10-17T16:51:29.579442Z
15,413,79,177,81,617728,6,2021-09-22T18:55:56.918986Z
16,125,51,304,50,617728,6,2021-09-22T18:55:56.918403Z
17,399,61,267,58,617728,6,2021-09-22T18:55:56.914026Z
18,529,115,413,78,617728,5,2021-09-12T20:56:55.175372Z
19,272,77,277,120,617728,5,2021-09-12T20:56:55.170713Z
20,304,50,522,45,617728,4,2021-08-29T16:04:42.581218Z
21,419,63,215,69,617728,4,2021-08-29T16:04:42.577120Z
22,413,76,205,105,617728,3,2021-08-23T03:45:15.725628Z
23,177,81,189,80,617728,3,2021-08-23T03:45:15.725099Z
24,337,81,78,65,617728,3,2021-08-23T03:45:15.724571Z
25,277,121,254,90,617728,3,2021-08-23T03:45:15.720492Z
