event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,101,101,316057,323931,316055,10,1000,0,0,5
2,67,168,1741699,1744208,509035,10,1003,1,0,8
3,63,231,1966629,1970724,494774,2,1008,1,0,5
4,53,284,4941401,4943683,742434,2,1005,0,0,0
5,56,340,3890275,3893551,877674,1,1004,1,0,13
6,42,382,4477397,4479457,1038881,2,1005,2,0,18
7,44,426,2387625,2391356,994117,3,1004,1,0,13
8,61,487,1289446,1292660,826196,3,1005,0,0,9
9,82,569,2175568,2177329,812575,5,1004,2,0,11
10,42,611,4340791,4344155,865191,12,1005,1,0,2
11,34,645,6488480,6489654,1184365,24,1005,1,0,2
12,53,698,5255781,5257579,1400308,13,1004,1,0,2
13,84,782,12022,12052,731002,13,1001,0,0,11
14,72,854,1580072,1581883,649959,4,1001,2,0,11
15,36,890,6331664,6334767,813255,4,1001,0,0,3
16,65,955,2477312,2478723,795754,18,999,0,0,4
17,60,1015,1348550,1350351,722318,18,1005,0,0,3
18,72,1087,173419,174248,490922,18,1006,0,0,18
19,64,1151,397061,397458,340181,39,1007,1,0,9
20,49,1196,1599936,1601423,307304,29,1006,2,4,3
21,69,1265,1094691,1096115,291505,29,1006,0,0,2
22,67,1332,1533275,1534371,256230,50,1004,2,0,6
23,28,1356,6896609,6898354,309308,27,1006,2,4,8
24,59,1415,2862274,2864581,358821,27,1010,0,0,2
25,71,1486,649370,651290,301634,21,1009,1,0,7
26,140,1626,387331,388411,229629,0,1007,2,0,9
27,46,1672,2806510,2809316,241429,0,1006,0,0,1
28,71,1743,3795872,3796603,297316,7,1003,1,0,6
29,83,1826,2652111,2654018,311224,10,1000,2,0,7
30,75,1901,171100,173738,235877,10,1000,0,0,3
31,44,1945,4121594,4126088,249900,10,1002,0,0,16
32,53,1998,3335669,3338946,276623,12,996,0,0,7
33,57,2055,5546339,5547416,312423,8,1000,1,0,9
34,54,2109,3759399,3761081,320933,9,998,1,0,6
35,61,2170,1063512,1065185,275600,9,996,0,0,7
36,116,2282,854244,854744,259629,40,993,3,4,0
37,34,2312,5692150,5692764,361252,43,993,2,4,17
38,76,2388,810378,812199,341082,20,995,1,0,8
