,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,240,83,144,60,289748,38,2022-05-22T01:19:48.557788Z
1,154,69,138,77,289748,37,2022-05-15T02:21:57.794136Z
2,256,72,229,67,289748,37,2022-05-15T02:21:57.789737Z
3,138,77,277,116,289748,36,2022-05-07T01:33:05.337035Z
4,20,55,550,45,289748,36,2022-05-05T00:27:32.820383Z
5,111,52,518,54,289748,36,2022-05-05T00:27:32.813298Z
6,277,116,251,117,289748,34,2022-04-22T20:36:42.869783Z
7,518,55,472,51,289748,33,2022-04-16T01:44:28.586993Z
8,361,46,429,49,289748,32,2022-04-08T16:55:50.598479Z
9,162,45,208,40,289748,32,2022-04-08T16:55:50.598106Z
10,251,117,233,131,289748,32,2022-04-08T16:44:46.866447Z
11,472,51,450,57,289748,32,2022-04-08T16:31:17.640484Z
12,550,45,413,75,289748,32,2022-04-08T16:31:17.640211Z
13,357,125,40,75,289748,32,2022-04-08T16:31:17.639937Z
14,420,69,261,71,289748,32,2022-04-08T16:31:17.639655Z
15,67,46,491,44,289748,32,2022-04-08T16:31:17.639386Z
16,208,40,470,43,289748,32,2022-04-08T16:31:17.639109Z
17,429,49,38,50,289748,32,2022-04-08T16:31:17.638757Z
18,436,53,26,53,289748,30,2022-03-18T18:04:51.057742Z
19,23,53,76,45,289748,30,2022-03-18T18:04:51.057353Z
20,213,69,78,66,289748,30,2022-03-18T17:58:52.231102Z
21,357,124,450,58,289748,30,2022-03-17T16:46:58.326855Z
22,78,66,413,75,289748,30,2022-03-17T16:46:58.326573Z
23,6,84,40,75,289748,30,2022-03-17T16:46:58.326285Z
24,681,75,261,72,289748,30,2022-03-17T16:46:58.326011Z
25,26,53,233,131,289748,30,2022-03-17T16:46:58.325734Z
26,359,109,144,61,289748,30,2022-03-17T16:46:58.325396Z
27,414,49,491,44,289748,30,2022-03-17T16:46:58.325126Z
28,439,46,470,44,289748,30,2022-03-17T16:46:58.324847Z
29,76,45,234,72,289748,30,2022-03-17T16:46:58.324574Z
30,429,48,229,67,289748,30,2022-03-17T16:46:58.324280Z
31,200,48,257,60,289748,30,2022-03-17T16:46:58.323990Z
32,408,50,69,45,289748,30,2022-03-17T16:46:58.323608Z
33,701,61,420,67,289748,29,2022-03-11T19:38:47.431534Z
34,234,72,256,69,289748,29,2022-03-11T19:38:47.426510Z
35,491,44,584,51,289748,28,2022-03-04T12:50:41.178244Z
36,233,130,277,116,289748,26,2022-02-16T18:27:55.286572Z
37,470,44,245,37,289748,26,2022-02-16T18:27:55.283071Z
38,584,51,361,45,289748,25,2022-02-12T03:26:42.219155Z
39,38,50,491,42,289748,23,2022-01-20T18:35:30.196903Z
40,229,66,288,51,289748,23,2022-01-20T18:35:30.186796Z
41,277,116,233,126,289748,22,2022-01-14T00:19:24.067116Z
42,288,51,142,62,289748,22,2022-01-14T00:19:24.058447Z
