,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,368,44,218,49,185134,38,2022-05-22T03:53:46.785683Z
1,215,65,696,80,185134,37,2022-05-15T01:06:46.411865Z
2,44,53,151,38,185134,37,2022-05-15T01:06:46.411561Z
3,54,39,376,42,185134,37,2022-05-15T01:06:46.411235Z
4,200,50,170,48,185134,37,2022-05-15T01:06:46.410739Z
5,180,76,577,47,185134,37,2022-05-15T01:02:22.431802Z
6,337,77,307,67,185134,37,2022-05-15T01:02:22.431243Z
7,205,103,213,70,185134,37,2022-05-15T01:02:22.430731Z
8,50,43,701,62,185134,37,2022-05-15T01:02:22.430165Z
9,154,69,578,58,185134,37,2022-05-15T01:02:22.429601Z
10,696,80,212,69,185134,37,2022-05-15T01:02:22.429107Z
11,245,37,342,48,185134,37,2022-05-15T01:02:22.428417Z
12,151,38,234,73,185134,37,2022-05-15T01:02:22.427936Z
13,264,53,218,49,185134,37,2022-05-15T01:02:22.427434Z
14,675,49,142,63,185134,37,2022-05-15T01:02:22.426869Z
15,376,42,257,61,185134,37,2022-05-15T01:02:22.426327Z
16,170,48,69,45,185134,37,2022-05-15T01:02:22.425730Z
17,577,47,345,68,185134,34,2022-04-22T21:40:35.105801Z
18,359,111,277,116,185134,34,2022-04-22T21:40:35.105259Z
19,251,118,265,78,185134,34,2022-04-22T21:40:35.098063Z
20,345,68,6,84,185134,33,2022-04-15T22:39:03.533213Z
21,218,49,360,49,185134,33,2022-04-15T22:39:03.526221Z
22,213,70,700,64,185134,32,2022-04-08T16:17:28.465000Z
23,6,84,468,57,185134,32,2022-04-08T16:17:28.464696Z
24,307,68,180,75,185134,32,2022-04-08T16:17:28.464397Z
25,212,69,254,86,185134,32,2022-04-08T16:17:28.464097Z
26,277,116,233,131,185134,32,2022-04-08T16:17:28.463764Z
27,578,59,22,66,185134,32,2022-04-08T16:17:28.463457Z
28,342,48,584,50,185134,32,2022-04-08T16:17:28.463124Z
29,360,49,370,52,185134,32,2022-04-08T16:17:28.462821Z
30,234,73,56,41,185134,32,2022-04-08T16:17:28.462510Z
31,257,61,112,54,185134,32,2022-04-08T16:17:28.462120Z
32,142,62,237,79,185134,31,2022-04-01T23:53:44.433108Z
33,213,69,78,66,185134,30,2022-03-18T18:23:20.960585Z
34,215,65,212,67,185134,30,2022-03-18T18:23:20.960251Z
35,559,51,200,48,185134,30,2022-03-18T18:23:20.959834Z
36,78,66,700,65,185134,30,2022-03-18T15:39:31.741028Z
37,430,76,468,57,185134,30,2022-03-18T15:39:31.740760Z
38,357,124,180,75,185134,30,2022-03-18T15:39:31.740467Z
39,212,67,265,79,185134,30,2022-03-18T15:39:31.740207Z
40,681,75,254,86,185134,30,2022-03-18T15:39:31.739940Z
41,359,109,233,131,185134,30,2022-03-18T15:39:31.739662Z
42,76,45,584,50,185134,30,2022-03-18T15:39:31.739357Z
43,44,52,370,52,185134,30,2022-03-18T15:39:31.739095Z
44,16,51,256,67,185134,30,2022-03-18T15:39:31.738826Z
45,429,49,237,80,185134,30,2022-03-18T15:39:31.738525Z
46,207,52,56,41,185134,30,2022-03-18T15:39:31.738256Z
47,200,48,112,54,185134,30,2022-03-18T15:39:31.737978Z
48,475,53,69,45,185134,30,2022-03-18T15:39:31.737636Z
49,180,75,413,75,185134,29,2022-03-12T06:17:07.953253Z
50,701,62,420,67,185134,29,2022-03-12T06:17:07.946609Z
51,700,65,307,68,185134,27,2022-02-25T15:36:02.606834Z
52,265,79,21,57,185134,27,2022-02-25T15:36:02.602276Z
53,22,64,277,117,185134,26,2022-02-18T22:01:02.974185Z
54,233,130,240,82,185134,26,2022-02-18T22:01:02.968660Z
55,277,117,251,121,185134,25,2022-02-12T00:09:08.045063Z
56,254,86,144,61,185134,25,2022-02-12T00:09:08.040529Z
57,112,54,481,40,185134,24,2022-02-08T17:34:59.163479Z
58,468,58,263,86,185134,22,2022-01-14T18:24:36.420528Z
59,251,120,233,126,185134,22,2022-01-14T18:21:12.645791Z
60,584,50,142,60,185134,21,2021-12-31T21:53:52.393483Z
61,420,65,261,76,185134,20,2021-12-28T13:25:09.609842Z
62,370,53,590,47,185134,20,2021-12-28T13:25:09.603215Z
63,240,80,70,44,185134,18,2021-12-18T07:03:52.787181Z
64,590,47,491,42,185134,18,2021-12-18T07:03:52.782713Z
65,263,86,579,124,185134,17,2021-12-14T05:38:46.511759Z
66,579,124,357,122,185134,16,2021-12-09T18:46:51.513883Z
67,261,76,265,80,185134,16,2021-12-09T18:46:51.507913Z
68,144,61,461,57,185134,14,2021-11-30T16:25:32.297833Z
69,256,65,262,60,185134,13,2021-11-22T01:12:38.471387Z
70,357,122,205,107,185134,12,2021-11-19T16:36:46.801152Z
71,21,56,289,75,185134,11,2021-11-04T23:31:37.816529Z
72,142,57,119,61,185134,11,2021-11-02T22:21:06.953321Z
73,205,107,529,115,185134,9,2021-10-22T15:33:06.243386Z
74,119,62,437,49,185134,9,2021-10-22T15:33:06.239096Z
75,265,79,268,69,185134,8,2021-10-15T21:14:58.353538Z
76,307,67,189,79,185134,6,2021-09-25T00:09:03.023283Z
77,189,79,177,82,185134,5,2021-09-14T21:17:35.588999Z
78,177,82,263,85,185134,4,2021-09-11T07:19:36.241038Z
79,289,77,419,63,185134,4,2021-09-11T07:19:36.240468Z
80,529,115,579,125,185134,4,2021-09-10T20:08:05.619500Z
81,437,49,429,45,185134,4,2021-09-09T20:12:24.510623Z
82,579,125,529,115,185134,4,2021-09-09T20:10:33.402428Z
83,461,59,289,76,185134,4,2021-09-09T20:10:33.401874Z
84,481,40,444,40,185134,4,2021-09-02T00:25:48.725154Z
