id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards
1,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
2,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
3,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
4,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
5,0,0,11,0,3.7,1,0,1.0,False,6.2,90,0,0,0,0,0,0.0,2,0
6,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
7,0,1,30,0,23.5,1,1,7.8,False,47.2,90,0,0,0,0,0,7.0,7,1
8,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
9,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
10,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
11,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
12,1,0,23,0,15.3,1,0,5.5,False,32.2,90,0,0,0,0,0,7.0,4,1
13,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
14,0,0,5,0,0.0,0,0,0.8,False,8.2,16,0,0,0,0,0,0.0,1,0
15,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
16,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
17,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
18,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
19,0,0,14,1,14.4,0,0,6.4,False,12.2,90,0,0,0,0,0,37.0,3,0
20,0,0,2,0,22.8,1,0,5.6,False,8.2,90,0,0,0,0,0,25.0,2,0
21,0,0,6,0,5.5,1,0,0.8,False,2.6,63,0,0,0,0,0,0.0,2,0
22,1,3,35,0,13.9,1,1,13.3,True,40.0,73,0,0,0,0,0,79.0,13,0
23,0,0,14,0,1.3,1,0,2.3,False,18.0,90,0,0,0,0,0,4.0,2,0
